Employee_ID,Branch_ID,Full_Name,Position,Department_ID,Salary,Hire_Date,Status
56,438,Mark Robinson,Customer Service Representative,7,109422.93,2024-10-02,Resigned
57,285,Brittany Pennington,Customer Service Representative,2,45689.34,2021-01-19,Resigned
58,259,Vanessa Mendez DDS,Loan Officer,13,118418.39,2022-04-01,Resigned
59,167,Michael Choi,Compliance Officer,2,58610.38,2024-09-24,Resigned
60,255,Kimberly Russell,Security Officer,15,87412.18,2016-05-27,On Leave
61,470,Judith Compton,Loan Officer,30,102336.86,2021-07-30,Resigned
62,215,Felicia Cardenas,HR Manager,15,39648.27,2025-01-22,On Leave
63,350,Richard Phillips,Security Officer,24,33684.3,2018-05-10,Resigned
64,550,William Cook,HR Manager,1,92950.36,2023-02-10,On Leave
65,628,Denise Ramirez,Branch Manager,27,61419.31,2024-03-22,Active
66,486,Mark Wright,Branch Manager,11,104206.33,2015-07-28,Resigned
67,156,Ashley Walls,Customer Service Representative,14,64880.23,2017-02-10,Resigned
68,164,Shane Cowan,Loan Officer,14,85206.93,2024-11-19,Resigned
69,239,Nathan Landry,Loan Officer,23,72704.75,2018-10-31,Resigned
70,268,Melinda Wright,Bank Teller,27,99487.03,2023-02-28,Active
71,456,Grace Woods,Investment Advisor,14,89111.52,2015-08-21,Active
72,8,Michael Combs,Risk Manager,9,48969.72,2024-07-02,Resigned
73,347,James Eaton,Bank Teller,4,48335.38,2015-09-11,On Leave
74,357,Thomas Ramirez,Credit Analyst,23,114439.46,2022-02-23,On Leave
75,371,Walter Jones,HR Manager,12,111461.45,2022-05-25,Active
76,624,Lisa Malone,Credit Analyst,13,107162.85,2016-01-31,Active
77,635,Felicia Herman,Bank Teller,18,100565.3,2017-05-13,Active
78,646,Jacqueline Hester DVM,Customer Service Representative,23,91622.6,2022-12-05,Resigned
79,677,Benjamin Singleton,HR Manager,11,119013.4,2019-04-16,On Leave
80,357,Julia Lopez,Bank Teller,9,94995.59,2019-03-20,Active
81,59,Eugene Martinez,Compliance Officer,2,102392.03,2019-02-15,On Leave
82,172,Curtis Gonzales,Compliance Officer,26,70048.11,2021-06-22,Resigned
83,52,Natalie Rogers MD,Loan Officer,14,47564.09,2021-03-23,On Leave
84,90,Parker Steele,Credit Analyst,5,102747.0,2018-12-22,On Leave
85,175,Matthew Olson,HR Manager,21,64841.92,2021-09-01,Resigned
86,120,Morgan Davenport,Financial Analyst,30,86786.73,2021-03-08,On Leave
87,39,Sara Moran,Financial Analyst,16,31332.35,2017-04-26,Resigned
88,459,Brian Mcbride,Security Officer,11,39301.12,2018-07-14,Active
89,411,Tammy Peterson,Accountant,20,113266.11,2015-06-29,Active
90,221,Zachary Mccarthy,Bank Teller,15,75122.84,2015-04-07,Resigned
91,540,Michael Scott,Investment Advisor,9,52009.02,2017-12-24,Resigned
92,520,Kimberly Brown,Security Officer,1,81414.56,2017-07-11,Active
93,20,Brandon Sullivan,Compliance Officer,21,101275.83,2016-12-28,On Leave
94,338,Jon Nguyen,Branch Manager,15,82415.26,2016-03-24,Active
95,478,Michelle Francis,Accountant,1,54145.77,2021-12-28,Active
96,644,Lindsey French,Compliance Officer,11,83519.13,2022-06-02,Active
97,378,Kevin Mann,Compliance Officer,13,93495.77,2021-06-24,Resigned
98,327,David Diaz,Security Officer,15,38865.94,2018-05-25,On Leave
99,269,Dustin Davis,Data Analyst,8,98055.57,2022-06-24,On Leave
100,569,Lisa Jones,Security Officer,24,100643.28,2024-12-09,Resigned
101,652,Austin Brock,Branch Manager,16,76435.77,2016-09-18,Active
102,462,Jonathan Melendez,Loan Officer,27,50117.17,2019-12-10,On Leave
103,229,Cynthia Marshall,Security Officer,25,51316.06,2018-06-05,Resigned
104,307,Stephanie Warren,IT Support,22,90383.6,2019-06-03,Resigned
105,607,Susan Willis,Security Officer,25,104279.51,2023-05-18,On Leave
106,347,Raymond Boyd,Investment Advisor,19,84358.56,2016-01-14,Resigned
107,166,Anthony Briggs,Compliance Officer,25,59488.39,2016-05-24,Resigned
108,105,Carla Kane,Customer Service Representative,30,78775.16,2016-02-04,On Leave
109,112,Daniel Garner,Compliance Officer,30,56234.47,2024-02-21,On Leave
110,125,Mark Hoffman DVM,IT Support,12,34538.68,2017-06-10,Resigned
111,151,Joseph Cannon,Customer Service Representative,9,89930.32,2024-01-01,Active
112,26,Kim Hicks,IT Support,30,97564.15,2017-10-24,Resigned
113,503,Emily Wells,Bank Teller,26,87238.9,2023-04-15,Resigned
114,181,Renee Davis,Loan Officer,10,30110.5,2022-10-06,On Leave
115,338,Jennifer Coleman,Investment Advisor,9,65560.52,2021-07-28,On Leave
116,423,Andrea Mack,Accountant,13,80730.17,2019-12-21,Active
117,328,Kyle Hudson,IT Support,4,115526.13,2023-06-17,Active
118,341,Charles Romero,Loan Officer,8,71232.77,2021-01-30,Resigned
119,167,Mark Kelly,Branch Manager,20,75857.19,2017-11-01,On Leave
120,548,Marie Vasquez,Bank Teller,28,105637.28,2021-07-21,Active
121,128,Ann Mcdaniel,Data Analyst,23,83043.86,2021-06-15,Active
122,523,Cory Mullen,Data Analyst,16,98210.56,2018-03-16,Resigned
123,298,Jennifer Reyes,IT Support,24,70603.7,2019-08-08,On Leave
124,153,David Gray,Loan Officer,19,93552.25,2017-10-31,On Leave
125,384,Natasha Roberts,Customer Service Representative,24,78862.98,2019-07-18,Resigned
126,318,Misty Mcdowell,HR Manager,19,67102.78,2018-02-02,On Leave
127,122,Patrick Scott,Bank Teller,2,109639.62,2024-02-22,Active
128,286,Lawrence Harris,Bank Teller,28,53212.73,2015-12-06,Active
129,531,Meghan Riley,Accountant,11,82168.27,2020-01-20,On Leave
130,628,Michael Hoffman,Accountant,4,35743.44,2017-04-03,Resigned
131,266,Brenda Lopez,Risk Manager,29,95264.75,2018-11-06,Resigned
132,443,James Malone,Investment Advisor,4,50961.26,2018-08-24,On Leave
133,624,Christopher Cox,Financial Analyst,27,112337.91,2024-10-06,On Leave
134,139,Lauren Warren,HR Manager,28,107765.5,2015-05-26,Active
135,636,Mike Parks,Security Officer,14,72743.77,2020-04-25,On Leave
136,30,Justin Pitts,HR Manager,30,88150.98,2019-04-29,Active
137,75,Michael Hatfield,Compliance Officer,22,115629.55,2021-08-29,Active
138,630,Carolyn Petersen,Credit Analyst,1,67280.56,2019-07-22,On Leave
139,513,Michelle Sanchez,Investment Advisor,20,50454.15,2015-08-05,Resigned
140,40,Walter Pham,Data Analyst,21,113661.45,2020-07-15,On Leave
141,401,George Jenkins,Loan Officer,9,36948.43,2024-04-12,On Leave
142,465,Brandon Simmons,Risk Manager,4,50902.54,2020-09-07,Active
143,410,Elizabeth Brown,HR Manager,6,37031.8,2022-01-16,Resigned
144,71,Calvin Owens,Bank Teller,17,74659.63,2023-05-19,Resigned
145,39,Alicia Jackson,Financial Analyst,23,36991.28,2023-03-11,On Leave
146,1,Robert Myers,Branch Manager,28,52094.19,2015-11-29,Resigned
147,447,Lori Morales,Data Analyst,12,74617.33,2021-03-26,Active
148,507,Michael Moore,HR Manager,22,96160.44,2018-03-27,On Leave
149,280,Daniel Robles,Accountant,17,94524.99,2024-01-30,Active
150,166,Shelby Pierce,Risk Manager,5,71303.57,2024-09-06,On Leave
151,34,Keith Brown,Risk Manager,12,45558.66,2019-04-05,Active
152,270,Wendy Rodriguez,HR Manager,25,105895.92,2022-04-24,Resigned
153,479,Jeffrey Barnes,Accountant,30,56426.86,2018-09-12,On Leave
154,322,David Moran,Credit Analyst,2,112208.92,2024-05-15,On Leave
155,434,Luke Berger,Risk Manager,3,30803.03,2022-06-10,On Leave
156,364,Veronica Crawford,Branch Manager,8,38830.53,2019-12-31,Active
157,82,Mary Mckenzie,Investment Advisor,14,45593.2,2019-03-02,Active
158,315,Mr. Steven Ali PhD,IT Support,28,111724.72,2015-04-08,On Leave
159,644,Emily Gray,IT Support,24,108068.13,2019-01-25,Resigned
160,8,Timothy Brown,Compliance Officer,26,111240.42,2024-08-05,Active
161,445,Shelby Collins,Risk Manager,4,40737.14,2021-08-12,Active
162,240,Brandon Brennan,Bank Teller,15,34055.68,2019-04-22,Active
163,225,Tracy Collins,Risk Manager,30,68099.87,2016-04-20,On Leave
164,666,Kathleen Young,Credit Analyst,26,91564.87,2020-06-13,Active
165,349,Matthew Ryan,Customer Service Representative,2,59228.49,2024-05-22,Resigned
166,574,Rebecca Howard,Accountant,3,119809.91,2024-12-19,Active
167,61,Melinda Perez,Compliance Officer,21,48846.13,2023-04-04,Resigned
168,305,Colton Richards,Compliance Officer,3,111510.06,2016-09-30,On Leave
169,544,Timothy Christian,Investment Advisor,8,61940.41,2021-01-15,On Leave
170,414,Benjamin Hardy,Risk Manager,23,76777.84,2023-06-27,On Leave
171,142,Erica Chandler,IT Support,5,57085.01,2020-08-19,Active
172,463,Stefanie Martin,Customer Service Representative,17,69182.15,2021-11-03,On Leave
173,583,Chelsea Johnson,HR Manager,5,62828.51,2021-11-04,Resigned
174,574,Vanessa Johnston,Security Officer,12,87650.03,2020-02-28,On Leave
175,33,Amy Jacobs,Financial Analyst,12,95837.11,2018-02-01,Resigned
176,514,Stephen Reed,Accountant,13,86324.45,2018-12-31,On Leave
177,296,Kenneth Hess,Bank Teller,25,76157.36,2020-01-14,Resigned
178,471,Gina Powell MD,Credit Analyst,4,50933.12,2016-02-02,Active
179,246,John Perry,Loan Officer,28,74599.92,2024-12-29,Active
180,216,Gary Jenkins,Investment Advisor,8,92481.45,2018-11-29,Resigned
181,104,Marcus Walker,Investment Advisor,18,90137.79,2018-08-05,Resigned
182,158,David Vaughan,HR Manager,23,73870.9,2018-05-27,On Leave
183,420,Holly Reyes,Compliance Officer,19,92550.82,2018-12-25,Active
184,15,Heather Hicks,Compliance Officer,24,93512.12,2024-01-16,On Leave
185,669,Jennifer Martin,Accountant,21,116953.71,2024-08-18,Active
186,176,Zachary Anderson,Risk Manager,18,118262.55,2015-10-13,On Leave
187,206,Shawn Smith,Accountant,15,112320.66,2017-09-11,Active
188,607,Carlos Davis,Security Officer,14,69912.08,2020-03-10,Resigned
189,340,Bobby Ross,Investment Advisor,10,47883.1,2020-06-09,On Leave
190,407,Cameron Parker,Compliance Officer,2,46668.99,2018-11-29,Active
191,451,Randall Wells,Data Analyst,18,94871.17,2022-06-02,Active
192,446,Chelsea Mathews,Credit Analyst,14,88499.11,2022-05-22,Resigned
193,136,Debra Johnson,Data Analyst,15,31684.1,2021-03-27,Resigned
194,584,Dr. Peter Robinson,HR Manager,22,109510.74,2021-03-01,Resigned
195,607,Erica Lee,Branch Manager,26,94976.97,2019-08-22,Active
196,650,Brian Wyatt,Compliance Officer,18,73930.27,2019-07-01,Active
197,619,Sarah Chambers,Financial Analyst,1,118959.55,2021-02-27,Resigned
198,676,Jennifer Whitaker DDS,Customer Service Representative,3,40287.57,2016-04-07,On Leave
199,180,William Fry,HR Manager,10,82390.52,2023-03-29,Resigned
200,369,Thomas Williams,Accountant,25,105096.26,2016-05-27,Resigned
201,691,Tiffany Johnson,Financial Analyst,26,97645.01,2018-09-03,Active
202,489,Julie Hester,Credit Analyst,3,118702.1,2022-10-01,Resigned
203,422,Mark Larson,IT Support,24,61003.61,2018-03-09,Active
204,390,Tiffany Cowan,Security Officer,22,87485.08,2021-05-06,Active
205,22,Angela Turner,Financial Analyst,12,93629.63,2020-03-02,Active
206,149,Cynthia Douglas,HR Manager,30,111293.96,2024-12-08,On Leave
207,312,Matthew Black,Accountant,10,108299.05,2016-08-19,Active
208,689,Kristin Brown,Branch Manager,18,39718.66,2015-11-18,Resigned
209,230,Anthony Dillon,IT Support,24,35981.72,2020-11-27,Active
210,488,Justin Kent,IT Support,26,40771.87,2017-02-18,Active
211,52,Thomas Rivera MD,Security Officer,5,31243.54,2024-02-28,Active
212,74,Phyllis Greene,Credit Analyst,27,116187.75,2018-01-05,On Leave
213,160,Ashley Carroll,Financial Analyst,15,58122.67,2023-04-25,Active
214,307,Tonya Walters,Loan Officer,1,67841.82,2020-06-11,On Leave
215,83,Gerald Ho,Risk Manager,25,42685.75,2016-01-07,Active
216,638,Heidi Shepherd,Customer Service Representative,13,69142.22,2017-03-29,On Leave
217,443,Ashley Russell,Investment Advisor,16,82467.5,2023-09-21,Active
218,136,Daniel Moore,Loan Officer,3,30905.66,2015-09-23,Resigned
219,621,Randy Hays,Investment Advisor,19,106888.47,2016-09-21,Active
220,417,Robert Torres,Compliance Officer,17,82630.26,2022-01-25,On Leave
221,155,Daniel Harris,Customer Service Representative,9,82791.94,2020-12-22,On Leave
222,266,Melanie Hooper,Compliance Officer,28,101375.34,2018-01-13,On Leave
223,303,Kaitlyn Hart,Data Analyst,29,77591.71,2019-03-28,Resigned
224,189,Michael Gonzalez,Loan Officer,12,90932.71,2017-12-03,Active
225,647,James Howard,Bank Teller,17,58774.91,2015-04-06,Resigned
226,300,Dr. James Martinez,Financial Analyst,30,68976.77,2024-11-17,Resigned
227,160,Michael Mack,Branch Manager,5,109416.11,2022-10-10,Active
228,259,Karen Wall,Financial Analyst,11,69658.13,2021-07-23,Resigned
229,100,Anthony Perry,IT Support,13,63518.62,2023-07-30,Active
230,435,Gregory Goodman,Data Analyst,1,48695.22,2021-03-21,Resigned
231,109,Tammy Williams,Security Officer,3,60346.52,2024-09-23,Resigned
232,589,Shawn Obrien,Loan Officer,20,44686.76,2020-10-16,Resigned
233,592,Scott Davis,Financial Analyst,28,67598.23,2024-08-19,Resigned
234,586,Michael Richard,Bank Teller,6,54867.99,2020-04-04,Resigned
235,517,Ronald Lewis,Branch Manager,20,44655.15,2016-01-10,Active
236,364,Meghan Miller,Data Analyst,3,97081.49,2015-03-14,Resigned
237,36,Tony Walker,HR Manager,4,48106.32,2024-11-11,Resigned
238,655,Karen Cruz,Security Officer,22,104236.3,2021-10-15,Resigned
239,156,Julie Smith,Financial Analyst,15,32111.25,2015-05-14,On Leave
240,218,Juan Gonzalez,HR Manager,25,53776.67,2021-04-21,On Leave
241,454,Douglas Payne,Risk Manager,14,51190.3,2017-10-09,Active
242,560,Thomas Garza,HR Manager,21,30779.08,2020-07-31,Active
243,95,Adam Hudson,Bank Teller,16,65450.0,2024-03-20,Resigned
244,16,Elizabeth Jackson,Bank Teller,2,53095.04,2020-06-07,Resigned
245,248,Jennifer Mitchell,Branch Manager,5,67962.61,2022-03-06,Active
246,689,Nathan Jordan,HR Manager,18,88330.6,2016-09-16,Resigned
247,595,Stephanie Michael,Investment Advisor,17,33596.22,2016-05-14,On Leave
248,540,Bridget Miranda,Compliance Officer,21,98383.0,2018-03-31,On Leave
249,280,Christine Garcia,Financial Analyst,9,66361.34,2018-08-26,Active
250,3,James Cook,Financial Analyst,14,81516.34,2024-04-08,On Leave
251,46,Mary Miller,HR Manager,14,33477.33,2018-08-25,Active
252,536,David Bates,Investment Advisor,29,73025.9,2016-10-25,On Leave
253,28,Joseph Miller,Risk Manager,24,39556.71,2017-10-10,Active
254,635,Kevin Hayes,Financial Analyst,20,117112.24,2017-12-15,Active
255,487,Amanda Mendez,Security Officer,15,50095.94,2020-10-14,On Leave
256,8,Mary Sullivan,Branch Manager,13,98597.9,2020-04-30,On Leave
257,361,Elizabeth Simmons,Data Analyst,28,37485.55,2018-05-03,Resigned
258,663,Linda Ryan,Branch Manager,1,114409.95,2021-04-30,Active
259,238,Marie Green,Security Officer,27,45993.79,2016-07-10,On Leave
260,108,Steve Carroll,Loan Officer,29,102512.29,2021-12-31,Active
261,551,Rebecca Colon,Bank Teller,20,110723.99,2016-11-22,On Leave
262,17,James Love,Customer Service Representative,3,84422.77,2015-07-12,On Leave
263,515,Elizabeth Davenport,Credit Analyst,22,39542.08,2024-02-29,On Leave
264,287,Elizabeth Curry,Investment Advisor,9,112751.52,2020-07-10,Resigned
265,212,Erin Graham,Customer Service Representative,22,48546.37,2020-03-20,Active
266,541,Jennifer Henderson,HR Manager,28,76176.94,2019-06-25,On Leave
267,545,Thomas Johnson,Loan Officer,24,30518.18,2017-02-16,On Leave
268,585,Mr. Jacob Mckinney DDS,Data Analyst,1,102742.49,2016-04-17,Active
269,204,Richard Cruz,Accountant,4,74663.35,2018-08-06,Active
270,568,Samantha Barron,Loan Officer,14,35206.73,2015-06-29,Resigned
271,682,Jay Peterson,Investment Advisor,25,78477.96,2018-05-08,Resigned
272,206,Mary Huang,Credit Analyst,25,112218.21,2017-03-27,On Leave
273,373,Eric Hill,Credit Analyst,28,80203.06,2020-09-21,Active
274,92,Jamie Shaw,Customer Service Representative,25,44652.13,2019-10-04,Active
275,523,Nicole Hall,Data Analyst,25,93594.76,2017-07-21,Resigned
276,350,Heather Valdez,Bank Teller,18,83653.96,2019-04-28,On Leave
277,679,Matthew Robertson,Customer Service Representative,9,96792.39,2019-08-27,Resigned
278,597,Angela Adams,Accountant,25,42309.79,2024-02-21,Resigned
279,134,Jake Castillo,Accountant,29,85297.65,2021-03-02,On Leave
280,143,Angela Wilson,Data Analyst,11,31160.35,2019-01-05,On Leave
281,604,Wesley Richards,Compliance Officer,30,36845.25,2019-02-13,Active
282,613,Kimberly Petersen,IT Support,30,77433.1,2024-05-01,Active
283,490,Caitlin Washington,Financial Analyst,28,72924.28,2024-08-09,Resigned
284,559,Amanda Peters MD,Risk Manager,15,61464.58,2024-05-23,On Leave
285,201,Jennifer Hudson,Customer Service Representative,9,87255.16,2017-11-07,On Leave
286,214,Kayla Farley,Risk Manager,8,85327.07,2017-11-19,Active
287,231,Diane Lindsey,Investment Advisor,1,40054.82,2021-11-21,Active
288,530,Brandon Eaton,Financial Analyst,1,76897.53,2020-12-24,Active
289,225,Brenda Scott,Compliance Officer,13,34130.0,2021-10-28,Resigned
290,548,Tammy James,Branch Manager,22,32805.34,2016-02-28,Active
291,526,Tina Fletcher,Risk Manager,8,75218.75,2015-07-12,Resigned
292,528,Michael King,Data Analyst,28,115395.73,2025-02-14,Resigned
293,460,Eric Morgan,Financial Analyst,6,84158.72,2024-07-04,On Leave
294,142,Matthew Eaton,Investment Advisor,10,54692.78,2024-04-28,Resigned
295,520,Grace Franco,Security Officer,22,86467.64,2021-03-23,Active
296,528,Barbara Wall,Investment Advisor,15,47234.53,2023-11-02,Resigned
297,312,Jennifer Fernandez,Investment Advisor,17,119232.0,2021-03-02,Active
298,508,Rachel Kramer,IT Support,17,63919.81,2015-02-23,On Leave
299,351,Scott Welch,Security Officer,23,39396.87,2024-06-17,On Leave
300,657,David Kim,Bank Teller,16,50332.16,2021-01-18,Active
301,467,Jacqueline Clark,Compliance Officer,29,57148.29,2020-02-11,Resigned
302,643,Erin Rhodes,Branch Manager,25,99238.72,2017-05-31,On Leave
303,417,Donna Novak,Financial Analyst,26,96779.13,2016-11-15,On Leave
304,689,Jason Fisher,Customer Service Representative,18,102028.7,2017-11-24,Active
305,677,Michelle Peterson,HR Manager,5,97624.04,2016-09-01,Resigned
306,229,Debra Bryant,Loan Officer,11,48630.59,2021-12-22,On Leave
307,628,James Hernandez,Loan Officer,15,67753.8,2024-02-19,Resigned
308,200,Nicholas Elliott,Risk Manager,12,48875.22,2017-11-07,On Leave
309,501,Crystal Roberts,Security Officer,22,61641.54,2015-10-13,On Leave
310,168,Katherine Jackson,Branch Manager,1,100389.99,2023-06-16,Resigned
311,689,Lori Pearson,Branch Manager,19,61400.83,2018-05-23,Active
312,418,Robert Mcmahon MD,Security Officer,4,102814.45,2019-03-02,Active
313,254,Brian Rodriguez,Financial Analyst,26,94773.2,2017-05-11,Resigned
314,10,Jacob Chang,Compliance Officer,26,100310.5,2023-10-27,Active
315,24,Laura Garrett,Customer Service Representative,26,107291.17,2023-08-29,On Leave
316,540,Andre Martin,IT Support,6,118615.36,2017-01-07,Resigned
317,417,Melissa Yates,Customer Service Representative,28,32985.89,2021-05-25,Resigned
318,65,Krista Dominguez,Security Officer,3,53627.06,2020-08-02,On Leave
319,220,Danielle Black,Credit Analyst,1,62804.9,2015-07-25,On Leave
320,237,Rodney Sampson,Compliance Officer,14,45080.42,2018-07-24,Resigned
321,573,Jessica Wallace,Bank Teller,7,96546.43,2016-10-16,Active
322,257,Lori Washington,HR Manager,4,100515.12,2015-02-20,Active
323,546,Stephanie Hernandez,Credit Analyst,12,32097.08,2023-11-30,Active
324,354,Kelsey Barber,Investment Advisor,29,51580.67,2023-01-30,Resigned
325,28,Terrance Hampton,Financial Analyst,4,69162.67,2017-08-22,Resigned
326,179,Nicole Smith,Compliance Officer,8,84502.78,2022-07-23,On Leave
327,404,Tony Lopez,Investment Advisor,28,88106.13,2015-09-30,Resigned
328,361,Stephanie Swanson,HR Manager,16,100783.63,2017-04-23,Resigned
329,165,Mr. Michael Martin,Credit Analyst,11,100293.8,2024-10-27,On Leave
330,566,Juan Hall,Data Analyst,4,113207.0,2023-07-15,Resigned
331,153,Joseph Howard,Security Officer,6,51811.23,2017-12-18,Resigned
332,685,Elizabeth Davis,Compliance Officer,21,32699.64,2021-04-13,On Leave
333,675,Leslie Ferguson,Financial Analyst,15,57656.52,2015-09-19,Resigned
334,54,Casey Anderson,Data Analyst,21,39537.16,2020-04-20,Resigned
335,370,Jeffrey Bautista,Customer Service Representative,20,87680.72,2022-11-27,Active
336,95,Mr. Travis Jenkins,Compliance Officer,12,45733.49,2022-11-26,On Leave
337,635,Christopher White,Bank Teller,28,71437.71,2020-12-12,On Leave
338,46,Joshua Taylor,Loan Officer,13,78664.56,2023-03-16,Active
339,659,Joshua Jackson,HR Manager,17,73575.92,2016-07-27,On Leave
340,657,Tasha Torres,Loan Officer,3,95803.03,2020-11-22,Resigned
341,576,Robin Russell,HR Manager,8,95848.92,2019-02-02,Active
342,80,Amber Harrison,Customer Service Representative,22,32344.96,2015-11-17,On Leave
343,39,Ryan Reyes,Security Officer,30,36256.77,2016-07-31,Resigned
344,509,Michael Pena,Accountant,6,75340.07,2023-02-18,On Leave
345,536,Samantha Black,Bank Teller,9,110978.95,2018-06-05,Active
346,341,Jerry Taylor,Data Analyst,9,68341.8,2020-03-06,Active
347,615,Eric Moody,HR Manager,13,47654.99,2020-12-24,Active
348,676,Daniel Rose,Accountant,19,39164.97,2015-03-03,On Leave
349,4,Terri Gilmore,Customer Service Representative,2,114091.15,2022-03-18,On Leave
350,615,Hannah Willis MD,Accountant,3,77502.53,2022-01-27,On Leave
351,539,Sandra Salazar,HR Manager,21,32608.45,2021-05-18,On Leave
352,98,Cody Malone,Compliance Officer,14,90290.2,2022-11-24,Active
353,155,Jacqueline Brown,Financial Analyst,8,49820.99,2016-02-13,Resigned
354,447,Katherine Walker,Branch Manager,2,89939.15,2020-05-30,Active
355,17,Jessica Nelson,Accountant,28,64118.1,2021-05-25,Active
356,540,Brittany Jones,Branch Manager,22,102818.48,2019-03-09,On Leave
357,301,Nicole Miller,Security Officer,9,50675.6,2022-05-13,On Leave
358,524,Jennifer Brandt,Customer Service Representative,7,36775.07,2020-08-21,Resigned
359,15,Angela Martin,Accountant,12,40536.86,2020-07-31,Active
360,607,Steven Anderson,Data Analyst,23,45132.02,2020-10-30,On Leave
361,210,Nathan Kaiser,IT Support,12,96256.58,2019-03-30,On Leave
362,453,Donald Lam,Accountant,19,115876.38,2016-06-20,Active
363,327,Stephen Jones,Risk Manager,21,41594.63,2020-12-24,Active
364,172,Jean Gutierrez,Data Analyst,23,74562.44,2019-06-11,On Leave
365,143,Patricia Hays,Data Analyst,29,42693.12,2023-06-20,Resigned
366,316,Danielle Meyers,Data Analyst,29,77879.26,2023-08-29,On Leave
367,626,Sharon Kaufman,Credit Analyst,16,70099.91,2019-06-02,Active
