Employee_ID,Base_Salary,Bonus,Deductions,Payment_Date
1099,24096.28,0.0,1322.43,2024-12-21
1226,4110.19,366.21,327.57,2025-01-30
1648,11947.48,0.0,991.29,2024-11-21
1925,3166.03,0.0,161.56,2024-12-02
1405,11309.92,0.0,402.97,2024-12-29
1633,13235.72,707.47,1104.48,2024-10-27
1875,4910.19,939.18,134.67,2024-12-03
1694,9696.81,944.49,403.76,2025-01-16
1468,7613.47,463.56,477.9,2024-10-14
1926,6154.37,433.77,529.67,2024-12-29
1178,9901.66,0.0,591.13,2024-10-01
1277,5611.52,637.91,160.36,2024-10-15
1419,5436.66,0.0,142.92,2024-10-19
1174,3991.98,233.7,220.21,2024-12-04
1877,22747.06,2621.71,785.28,2024-11-29
1065,9523.41,1513.96,610.82,2024-09-03
1488,11237.41,1400.41,693.3,2024-12-16
1198,13672.63,0.0,1168.69,2025-02-06
1903,16962.12,0.0,1524.1,2024-09-05
1140,4928.33,0.0,161.0,2024-12-02
1982,9289.03,0.0,634.07,2024-10-03
1926,19263.99,2025.83,1223.34,2024-12-14
1875,10893.61,0.0,406.62,2024-12-07
1759,4603.76,322.6,357.05,2025-01-05
1171,4719.4,758.9,168.33,2024-09-24
1185,11520.21,0.0,513.89,2024-10-27
1028,8135.09,845.03,563.65,2024-09-30
1501,24622.4,3564.18,1156.22,2025-01-18
1623,9418.79,0.0,830.08,2025-01-11
1178,18574.05,1926.6,1111.75,2024-10-27
1370,4708.12,826.2,163.63,2024-12-16
1810,8922.3,1740.13,278.54,2024-10-18
1917,22948.61,2355.37,991.8,2025-01-30
1478,5324.51,0.0,251.27,2024-11-02
1189,4014.63,0.0,273.54,2024-08-28
1854,5787.78,0.0,248.81,2024-09-05
1179,9684.55,0.0,248.61,2024-08-24
1244,5888.52,0.0,208.23,2024-12-21
1765,4751.36,269.76,236.5,2024-11-09
1394,9898.76,580.2,595.11,2024-12-05
1061,10534.45,923.31,709.07,2025-01-06
1989,6262.22,0.0,354.52,2024-12-22
1590,11855.58,677.7,435.81,2025-01-03
1050,4463.41,419.06,358.8,2025-01-21
1403,13672.18,1716.08,1352.98,2024-11-01
1244,8393.57,1267.4,347.55,2024-12-09
1694,7659.97,1102.79,333.89,2024-10-04
1754,4396.7,357.1,108.27,2025-02-07
1155,6778.81,1000.6,192.12,2024-12-09
1239,4123.32,379.2,364.99,2025-01-18
1825,9480.75,1563.31,362.08,2025-02-02
1745,14473.37,2085.58,1274.74,2025-01-25
1393,20818.02,0.0,1267.88,2024-10-20
1842,4868.23,957.17,297.19,2025-01-13
1746,8777.26,1396.39,332.95,2024-09-07
1454,6297.72,0.0,356.49,2024-08-23
1650,3756.23,191.01,215.95,2024-12-09
1412,17779.77,0.0,1687.48,2024-11-10
1075,10419.93,1283.59,353.96,2024-10-04
1364,27170.8,2210.04,1191.8,2025-02-05
1591,16483.49,2610.76,564.13,2024-10-16
1820,5849.75,0.0,279.23,2024-09-10
1478,5711.95,0.0,459.88,2024-10-27
1513,6870.49,1059.4,332.89,2025-01-23
1940,33222.92,0.0,1055.72,2024-12-25
1778,5346.27,0.0,324.9,2024-10-19
1956,5371.86,0.0,308.16,2024-11-30
1453,5266.71,881.92,333.85,2024-10-07
1718,18392.31,2040.38,616.33,2024-09-20
1329,11911.8,1253.8,360.11,2025-02-04
1379,10898.55,0.0,845.39,2024-10-25
1493,4272.31,491.77,292.65,2024-12-15
1870,3782.15,0.0,119.99,2024-09-17
1751,20700.52,0.0,1341.57,2025-02-04
1811,4174.76,403.12,168.24,2024-09-19
1377,6667.43,1042.67,656.02,2024-10-15
1590,7628.03,0.0,359.74,2024-09-11
1776,8159.36,0.0,333.22,2024-09-19
1107,5686.1,0.0,227.5,2025-02-07
1905,3507.68,447.48,196.48,2025-02-07
1531,7952.09,0.0,588.45,2024-11-03
1079,10971.49,1207.09,291.83,2024-11-10
1238,10799.55,0.0,516.74,2024-08-24
1724,4837.62,396.68,397.3,2024-11-22
1184,19937.0,2718.91,786.9,2024-09-08
1623,10717.91,1920.75,595.05,2025-01-06
1765,3949.29,0.0,152.23,2024-10-24
1935,6466.55,491.41,643.63,2024-09-03
1639,10588.1,0.0,884.41,2025-01-08
1758,5594.3,0.0,367.38,2024-12-30
1334,3165.24,483.46,179.95,2024-11-29
1846,20904.34,1843.47,921.52,2025-01-29
1066,5934.86,656.94,333.37,2024-09-24
1958,3850.09,735.44,323.58,2024-10-28
1408,10287.74,0.0,379.5,2025-01-15
1228,5609.31,431.92,295.79,2024-11-12
1267,3435.53,247.63,211.72,2025-01-17
1454,17952.85,3230.1,1729.19,2024-12-09
1421,4298.93,454.45,136.77,2024-09-17
1449,5820.51,746.84,539.23,2024-11-25
1667,10601.2,1027.49,861.75,2024-11-07
1165,6352.57,688.09,321.7,2024-12-22
1813,10401.62,1589.76,428.39,2024-11-12
1293,3595.29,370.97,308.95,2024-10-11
1648,21685.12,2887.64,1032.18,2024-12-05
1259,4602.07,703.55,401.61,2024-09-24
1575,8424.71,595.05,672.44,2024-10-28
1409,5290.97,595.65,274.89,2024-09-21
1128,3067.05,201.97,161.37,2024-10-13
1005,3815.06,355.47,327.58,2025-02-02
1652,19334.17,3531.6,1443.57,2024-11-27
1471,3408.06,0.0,193.91,2025-02-17
1293,6175.13,555.08,144.46,2024-10-03
1501,5737.72,445.93,155.49,2024-12-07
1813,3254.02,0.0,291.88,2024-12-09
1776,20495.46,3753.58,762.04,2024-12-27
1865,4902.84,0.0,237.74,2024-11-08
1327,14657.5,1795.48,356.9,2025-01-18
1727,8409.95,0.0,447.73,2024-10-12
1499,4613.88,706.31,334.45,2024-11-13
1594,8610.28,902.33,730.92,2025-01-10
1314,7169.84,1417.87,467.75,2024-11-13
1165,4097.97,337.97,150.34,2025-01-24
1305,4893.14,742.11,272.01,2024-11-09
1321,7566.11,0.0,746.1,2024-09-08
1066,14724.92,0.0,1316.39,2025-02-11
1280,4906.0,0.0,359.69,2024-10-19
1479,12018.67,2299.13,516.72,2025-02-09
1419,3946.47,0.0,355.14,2024-10-26
1934,7520.23,0.0,748.65,2024-11-12
1058,3249.09,304.68,263.75,2025-01-18
1236,5854.67,872.71,196.24,2024-10-26
1808,5254.73,367.1,366.77,2024-09-14
1453,47266.08,3031.01,1079.72,2025-02-09
1364,5606.96,872.16,141.49,2024-12-26
1871,23937.58,2790.29,559.28,2025-02-17
1121,6329.5,0.0,536.89,2024-10-13
1674,3831.8,639.08,81.23,2024-08-23
1793,6539.11,614.01,528.69,2024-09-30
1725,5267.11,1050.45,416.72,2024-08-23
1673,5247.36,779.83,126.55,2024-11-24
1177,8585.54,1219.53,195.08,2024-11-26
1811,20339.85,0.0,599.29,2024-12-19
1648,3474.96,0.0,288.78,2024-10-22
1003,5614.29,998.63,414.63,2024-09-25
1228,5223.91,536.38,436.56,2024-08-31
1079,8381.05,457.81,775.71,2024-11-03
1855,10522.88,1944.87,457.63,2024-11-29
1653,4134.26,643.04,133.32,2024-10-26
1121,11050.99,1534.58,551.87,2024-11-07
1810,3025.82,562.2,194.14,2024-11-08
1986,7403.74,1407.38,382.58,2025-01-01
1128,15657.68,2190.22,1409.5,2024-12-27
1356,24371.88,3794.42,868.22,2024-10-03
1166,17188.8,2091.9,740.76,2024-10-06
1810,3944.59,415.78,79.74,2024-12-13
1099,8026.75,693.55,762.47,2024-09-09
1935,13206.99,0.0,449.78,2024-08-23
1633,4115.44,453.46,147.79,2025-01-09
1055,4250.99,310.28,88.74,2024-11-21
1758,24317.88,3907.41,2179.09,2025-01-01
1579,20818.64,1872.33,468.55,2024-12-13
1209,24980.51,1492.93,2312.92,2024-10-19
1091,23726.45,0.0,1544.52,2024-10-04
1557,9994.89,1577.1,812.11,2025-01-24
1188,27765.93,0.0,801.13,2024-12-26
1247,6755.14,709.63,364.3,2024-11-18
1746,5339.48,943.33,314.3,2025-01-27
1884,9408.57,0.0,229.21,2024-10-09
1467,22604.44,2728.92,1380.46,2024-11-15
1048,4580.44,0.0,186.28,2025-01-29
1129,21720.56,1899.52,1687.86,2024-11-16
1323,7746.65,1424.48,648.43,2024-09-03
1701,32919.01,2491.11,2707.51,2025-01-15
1277,21149.65,3734.08,513.32,2024-11-28
1758,3419.64,197.78,137.4,2025-01-22
1477,5308.11,0.0,423.35,2024-11-10
1179,9582.33,868.73,352.48,2024-09-14
1543,5158.63,0.0,123.66,2024-11-21
1321,5647.83,0.0,276.5,2025-02-04
1304,3169.65,205.13,193.96,2024-12-25
1778,11097.71,1486.54,459.97,2024-09-03
1854,4887.54,0.0,348.06,2024-12-01
1442,5476.5,584.13,348.14,2025-01-25
1268,10456.33,1929.25,841.83,2025-01-01
1676,5774.93,0.0,181.09,2025-02-07
1707,10674.79,1128.24,452.6,2024-12-24
1785,8503.36,0.0,624.16,2024-11-23
1643,5354.78,296.94,232.07,2025-02-04
1058,7937.62,1576.5,294.22,2025-01-14
1501,5528.68,1085.71,275.21,2024-09-28
1334,9369.06,0.0,306.55,2024-10-14
1019,8273.25,789.4,778.02,2024-11-15
1870,3579.83,0.0,262.69,2025-01-03
1323,8768.43,693.97,221.31,2025-02-18
1808,6506.17,434.37,400.14,2024-12-16
1589,4824.08,684.35,138.25,2024-11-27
1161,8534.84,1579.3,216.73,2024-11-22
1309,5850.47,633.63,426.75,2024-09-15
1135,4350.62,527.31,433.9,2024-11-10
1363,31542.81,5419.2,1263.04,2024-09-29
1113,9963.85,1955.41,769.68,2024-12-16
1724,7652.09,0.0,237.49,2024-09-29
1373,10861.47,0.0,898.35,2025-02-11
1784,21643.69,1641.71,2122.62,2024-10-27
1422,3647.61,636.37,360.36,2025-01-12
1329,9769.4,870.84,636.97,2025-01-19
1763,5075.3,967.43,338.55,2024-09-01
1745,19944.89,0.0,1496.72,2024-10-26
1935,5501.52,648.73,369.66,2024-10-09
1710,3067.72,554.6,304.8,2024-12-31
1380,4367.52,0.0,143.04,2024-10-12
1750,3524.89,444.01,240.94,2024-09-02
1553,6912.86,1324.58,199.39,2024-12-31
1487,10078.31,0.0,542.22,2024-11-18
1093,9862.22,0.0,684.13,2024-12-14
1591,14301.03,2708.32,1092.97,2025-02-04
1128,19373.58,3809.85,1489.78,2025-01-10
1956,9096.66,1757.12,206.55,2024-09-01
1095,10591.15,1722.31,255.39,2024-12-18
1944,3565.12,0.0,298.08,2024-11-24
1473,5530.76,931.97,261.54,2024-12-07
1444,3066.15,0.0,284.41,2024-10-01
1418,10529.16,983.55,346.85,2024-10-31
1419,9035.69,954.81,427.54,2025-01-26
1452,8958.48,0.0,491.44,2024-10-01
1002,24439.67,1430.23,894.49,2024-09-30
1211,7645.89,1077.65,192.73,2025-01-09
1928,3232.36,595.6,109.81,2024-09-27
1202,3823.5,0.0,309.16,2024-10-21
1145,3999.14,582.85,224.15,2024-09-27
1676,3851.52,266.4,261.36,2024-12-26
1995,5726.78,303.49,418.1,2024-11-27
1426,4073.13,471.59,155.54,2024-09-25
1971,10966.35,1027.72,607.07,2024-09-19
1478,5561.15,902.51,215.18,2025-01-04
1759,5009.93,980.17,166.5,2024-11-04
1239,4393.54,0.0,161.87,2025-01-12
1928,4312.2,0.0,324.8,2025-01-03
1839,16484.93,1087.76,432.08,2024-10-27
1948,9868.57,505.01,512.98,2025-02-03
1188,17980.95,1372.82,1499.01,2024-09-04
1579,7740.03,1106.65,222.05,2024-10-14
1113,4673.95,315.11,343.52,2024-08-29
1870,13452.73,0.0,479.59,2025-01-17
1725,3178.9,533.59,291.36,2024-11-12
1191,4383.03,0.0,402.44,2024-09-04
1374,3968.38,526.81,188.68,2024-08-29
1444,11423.83,1482.72,1059.45,2024-12-02
1104,8479.59,1451.87,195.39,2024-08-25
1862,15094.08,0.0,1369.9,2024-10-15
1928,5750.08,372.56,457.75,2024-10-11
1860,9620.67,1277.84,220.62,2025-02-13
1234,9881.22,1583.03,497.66,2024-11-19
1478,10016.41,0.0,979.5,2024-09-22
1865,12380.65,2370.87,662.77,2024-12-31
1169,5554.35,418.9,161.47,2024-10-02
1887,9821.1,1728.22,565.24,2025-02-09
1555,7452.32,0.0,669.02,2025-01-27
1294,7673.49,750.33,373.08,2024-11-19
1107,10454.48,959.62,225.38,2025-01-09
1917,5307.29,0.0,499.48,2024-09-21
1935,5317.54,270.82,523.53,2025-02-05
1535,5156.2,927.54,292.7,2024-10-12
1633,5712.17,0.0,188.26,2024-09-03
1792,12787.28,943.31,931.06,2024-09-23
1677,41371.46,4584.43,1589.47,2024-11-19
1171,5287.27,987.48,468.42,2024-12-11
1765,20178.18,1671.12,1426.72,2024-11-07
1313,41019.68,0.0,1265.46,2024-11-25
1089,5128.14,899.86,447.03,2024-08-26
1839,4277.33,254.31,352.25,2024-08-29
1553,22880.03,2849.31,784.81,2025-01-09
1305,5821.56,0.0,342.0,2024-08-24
1594,3851.49,271.76,146.25,2024-12-15
1083,3894.32,513.65,160.35,2024-09-30
1039,7695.62,1482.48,611.1,2024-09-26
1393,10272.73,0.0,857.87,2024-10-24
1934,10709.12,0.0,639.51,2025-02-14
1394,15521.87,2369.68,680.94,2024-12-19
1592,17802.62,2650.67,1198.79,2024-11-24
1589,5463.53,593.55,538.2,2025-01-18
1383,3881.37,196.93,177.05,2024-11-22
1585,23375.88,3364.02,1928.34,2024-11-21
1813,4195.17,682.06,129.35,2025-01-16
1238,19620.03,3570.86,1614.23,2024-08-28
1422,5935.5,1127.72,380.66,2024-12-22
1937,11575.33,690.67,634.81,2025-01-19
1768,10553.98,0.0,578.56,2024-08-27
1228,4974.32,428.81,186.58,2024-09-19
1731,4362.69,571.12,93.66,2024-09-16
1491,3255.25,0.0,118.88,2024-10-21
1361,7911.58,842.8,640.25,2025-01-02
1064,22854.05,2159.8,1782.33,2024-11-02
1778,4292.98,341.87,107.04,2024-12-16
1784,6985.57,1007.17,245.9,2024-12-20
1107,23941.26,2224.69,1425.03,2024-12-13
1860,3604.82,0.0,241.77,2024-11-29
1910,4169.39,0.0,302.26,2024-12-07
1140,3547.76,269.35,144.96,2024-12-22
1744,16553.57,0.0,734.81,2024-10-25
1590,10618.81,1240.75,958.68,2024-11-01
1308,7117.89,892.36,144.13,2025-01-21
1308,5447.15,0.0,273.28,2024-08-31
1826,4476.17,376.76,305.47,2025-01-27
1074,49001.28,9369.44,3792.65,2024-11-10
1817,8897.86,679.2,335.49,2024-10-22
1048,46017.55,7689.19,4065.76,2024-08-28
1825,10331.23,1120.84,329.98,2024-09-29
1463,14819.81,1371.26,1282.92,2024-10-02
1506,9775.68,1892.47,292.2,2024-11-11
1355,5939.2,507.47,243.66,2024-09-22
1582,9432.08,1867.63,337.65,2024-10-18
1327,3239.78,0.0,123.98,2024-12-09
1003,6036.23,1114.04,387.37,2024-10-28
1718,20789.66,0.0,1728.05,2024-12-25
1915,7209.0,768.31,445.92,2024-12-05
1220,17638.61,2854.4,1599.13,2024-10-09
1811,17974.86,3423.84,1518.05,2024-11-24
1995,5384.83,330.14,414.9,2025-02-14
1074,10021.96,0.0,930.9,2024-10-21
1763,4064.67,291.97,126.46,2024-10-13
1470,17063.42,2291.44,931.39,2025-02-14
1308,24877.67,3272.16,1477.57,2025-01-11
1202,24542.75,3341.32,803.46,2025-02-14
1870,4580.83,791.79,167.46,2024-10-01
1444,21182.34,3645.27,964.74,2024-10-07
1935,11345.49,2148.18,440.17,2024-10-24
1615,5042.95,0.0,226.35,2025-01-04
1653,8390.71,1368.58,187.64,2024-11-24
1454,4903.49,876.37,432.11,2024-11-10
1967,10874.47,1589.87,889.38,2024-10-09
1467,15609.06,0.0,991.53,2024-08-25
1046,4033.72,505.35,331.81,2025-01-31
1449,8830.01,1668.11,240.91,2024-12-03
1177,31624.66,0.0,2162.14,2024-11-23
1427,11658.36,1646.47,314.96,2024-12-14
1552,6759.61,982.32,290.14,2024-09-05
1860,6248.27,0.0,149.79,2024-12-26
1374,15237.11,1293.45,1371.67,2025-01-13
1862,3934.22,493.8,111.04,2024-12-18
1697,3489.08,0.0,176.35,2024-11-26
1818,5563.89,0.0,224.8,2024-12-23
1428,8906.0,841.06,407.02,2024-10-07
1825,21351.17,1118.42,1311.07,2024-12-18
1209,3634.11,391.15,101.7,2024-11-18
1985,17125.89,948.38,491.24,2025-01-09
1055,9035.95,1622.01,316.31,2024-09-12
1983,13849.77,0.0,1288.97,2025-01-30
1370,10615.68,0.0,559.64,2024-11-01
1432,10080.92,1072.16,926.68,2024-10-18
1467,16539.15,0.0,1525.45,2024-12-28
1810,11769.62,901.34,394.54,2024-12-02
1286,4875.81,595.2,464.29,2024-10-23
1188,3773.56,0.0,240.81,2024-10-01
1224,8953.24,0.0,485.4,2024-10-02
1277,32448.72,4575.27,1836.0,2024-12-10
1399,42289.5,4035.72,1787.92,2025-01-26
1280,6791.85,744.15,544.41,2024-09-08
1995,7514.98,473.84,380.73,2024-11-13
1865,3522.8,283.78,335.08,2024-11-09
1763,10542.38,1017.77,626.31,2024-11-05
1214,9653.19,1107.38,760.05,2024-12-19
1508,19617.97,3892.2,514.04,2025-01-07
1226,4138.06,696.62,272.77,2024-09-12
1645,6231.13,392.15,418.11,2024-12-20
1188,3111.56,0.0,174.94,2024-12-21
1113,4589.8,0.0,381.65,2024-10-13
1456,13977.22,1452.2,1228.25,2024-09-02
1547,6601.75,816.56,402.52,2024-10-01
1051,8531.06,483.8,791.21,2024-12-07
1556,20689.84,0.0,1763.86,2025-02-04
1442,4776.44,265.15,221.48,2024-08-30
1188,5831.77,588.13,136.81,2024-11-12
1399,5699.44,559.24,545.69,2024-08-28
1003,8821.38,1062.17,554.66,2025-01-24
1368,8780.23,1201.18,715.07,2024-11-28
1971,4358.3,0.0,316.79,2024-11-02
1248,33218.66,3318.72,2093.68,2024-09-16
1214,34931.27,0.0,2483.85,2024-10-17
1665,3964.37,0.0,232.38,2025-01-10
1445,13080.84,2606.18,266.2,2025-02-08
1185,6642.0,1228.0,288.44,2024-10-21
1368,3913.84,299.95,363.2,2024-09-12
1444,8723.53,1142.14,696.35,2025-01-31
1813,11916.41,2116.09,616.59,2025-01-09
1956,4313.0,352.83,245.68,2024-12-30
1530,9919.3,0.0,338.58,2024-12-10
1623,5424.33,860.59,189.09,2024-09-02
1282,3246.91,452.91,250.54,2024-12-01
1928,19708.15,0.0,1616.48,2024-09-28
1422,20316.57,1412.39,1575.17,2024-12-10
1537,7191.63,1294.53,342.21,2025-01-26
1552,11246.61,1746.29,893.21,2024-12-25
1889,5854.45,683.35,459.6,2024-11-06
1915,42942.24,7221.73,917.22,2024-11-10
1368,3128.96,200.44,280.8,2025-01-11
1506,26882.04,0.0,2268.41,2024-09-15
1113,10964.99,1345.33,1031.7,2024-09-23
1040,19629.5,0.0,1915.63,2024-10-21
1226,4940.06,531.88,166.33,2024-11-06
1000,17001.64,2287.79,1400.09,2024-11-22
1793,12376.03,2475.0,844.67,2024-10-04
1178,5721.36,772.78,188.9,2024-10-18
1323,10037.16,1829.02,623.58,2025-01-18
1594,13020.65,1886.92,388.77,2025-02-16
1606,17971.77,0.0,541.91,2024-11-20
1377,7865.98,1161.71,751.37,2024-11-30
1609,3172.04,567.32,83.71,2025-01-29
1945,8921.0,554.7,833.97,2024-12-27
1178,17936.7,2055.86,1291.86,2024-10-21
1079,14341.78,0.0,593.34,2024-11-14
1123,5408.13,0.0,528.89,2025-02-10
1868,6580.32,667.5,152.61,2024-10-11
1776,14638.67,2832.2,1437.85,2024-12-17
1167,6867.43,606.41,655.2,2024-10-02
1590,3122.51,567.54,265.94,2025-02-15
1542,5875.57,0.0,340.02,2024-09-19
1599,3382.43,525.19,327.59,2024-11-19
1639,27558.28,0.0,2690.25,2024-12-04
1537,5643.94,383.39,476.12,2024-09-07
1028,3560.92,594.34,75.84,2025-01-22
1304,17637.98,2051.37,1440.46,2025-02-11
1205,7804.38,915.85,246.95,2024-09-28
1234,14435.77,2267.16,1339.16,2025-02-10
1989,9522.23,1363.2,309.62,2024-09-17
1551,12489.21,2455.22,271.5,2024-10-27
1948,5073.82,0.0,353.32,2024-11-22
1047,3495.08,383.92,163.46,2025-02-18
1368,9011.8,1665.67,723.62,2024-09-16
1401,4057.86,652.3,397.95,2024-12-29
1296,9786.55,1806.98,233.71,2024-12-26
1322,8886.1,678.27,596.54,2024-11-22
1358,9645.94,1509.66,430.51,2025-01-08
1906,10258.11,0.0,543.85,2025-01-22
1776,10539.35,0.0,601.42,2024-11-23
1075,4460.77,503.0,368.39,2024-11-18
1786,8295.44,832.43,687.46,2024-12-22
1734,18754.21,0.0,878.73,2024-08-31
1471,4084.45,256.27,235.88,2024-11-09
1091,9883.76,964.03,352.67,2024-09-22
1604,14267.5,0.0,354.04,2025-01-24
1935,4936.12,0.0,335.2,2024-08-30
1162,11409.52,1686.19,556.6,2024-09-26
1792,3987.84,372.99,353.23,2025-02-04
1792,18122.6,2726.42,1768.22,2025-01-27
1926,4113.62,525.82,278.71,2024-12-09
1304,9761.72,0.0,787.59,2024-10-24
1631,4391.63,714.83,279.72,2024-10-04
1178,15480.06,2509.67,1175.13,2024-11-02
1991,3689.64,570.83,107.47,2024-09-03
1758,6715.16,620.69,555.0,2024-09-14
1377,3917.75,257.28,357.71,2024-12-09
1191,20223.41,3954.73,1936.22,2025-01-27
1740,7147.48,738.03,218.35,2024-12-25
1650,27862.69,4510.56,2000.49,2025-01-23
1982,4126.14,473.8,194.8,2024-09-17
1875,10851.51,0.0,554.56,2024-11-30
1432,5637.05,690.45,369.34,2024-12-13
1633,19662.27,0.0,1950.15,2024-12-02
1238,9748.39,0.0,330.95,2024-10-12
1780,11837.02,0.0,1125.56,2024-12-16
1547,11970.82,1047.64,432.59,2024-10-04
1632,10080.56,0.0,330.37,2025-01-24
1870,4730.99,0.0,439.47,2024-10-30
1265,21862.22,1699.24,1591.31,2024-09-18
1277,10304.76,759.34,1012.91,2025-01-09
1089,6055.97,0.0,401.94,2025-02-04
1664,8954.25,0.0,869.2,2024-11-30
1409,3554.76,658.99,185.31,2025-02-13
1095,10326.72,691.66,485.13,2024-10-18
1002,11199.76,1028.6,278.77,2024-08-30
1310,14588.26,1134.41,1310.62,2024-12-21
1708,30305.21,2169.25,1943.22,2024-10-26
1178,4916.45,0.0,125.33,2025-01-28
1326,6482.48,920.8,321.01,2024-09-08
1106,7562.44,1112.39,569.73,2025-01-02
1299,11072.96,1518.95,410.39,2024-10-30
1708,18348.98,0.0,1317.55,2024-10-15
1986,17608.34,1881.91,786.34,2024-10-29
1695,5242.11,0.0,426.03,2025-01-31
1099,17579.63,1134.61,465.94,2024-09-03
1817,8224.44,0.0,412.72,2025-01-31
1967,6017.63,0.0,531.52,2024-12-30
1531,38984.34,3404.24,2439.39,2024-11-21
1084,5256.77,665.8,471.72,2024-10-18
1838,8066.39,1131.38,468.64,2024-12-06
1454,3939.72,474.31,113.6,2024-10-03
1653,9941.76,817.61,807.8,2024-09-19
1296,5249.53,554.89,342.97,2025-02-16
1744,8728.24,0.0,528.41,2024-10-31
1903,4648.54,759.01,273.4,2024-12-27
1050,5736.49,439.36,469.39,2024-09-27
1884,46213.18,0.0,3221.2,2024-12-13
1554,11360.62,1587.99,655.02,2024-09-24
1763,19851.44,2246.96,1877.59,2024-10-17
1202,4716.05,596.97,401.88,2024-11-29
1948,4201.88,424.39,271.92,2024-09-21
1734,3203.22,0.0,242.07,2024-10-11
1445,3270.39,441.99,283.43,2024-11-23
1606,4375.44,370.25,419.75,2025-01-20
1206,18962.23,2560.56,1022.47,2025-01-25
1645,12169.87,677.81,906.24,2024-12-20
1724,3499.63,646.85,171.1,2024-10-23
1740,4889.82,371.73,116.67,2024-12-07
1724,23627.01,0.0,526.51,2024-10-31
1887,7845.79,584.7,169.62,2025-01-07
1284,5984.14,491.46,167.15,2024-11-12
1633,3440.66,0.0,154.33,2024-11-06
1763,4914.01,892.54,334.5,2024-09-07
1910,11998.2,1894.99,845.79,2025-01-22
1860,5125.77,299.01,115.34,2024-12-06
1499,22034.59,0.0,1799.6,2024-10-18
1585,4643.64,0.0,234.78,2025-01-17
